Date,Open,High,Low,Close,Adj Close,Volume,Source
2019-07-04,58012.18,58092.56,57607.91,57829.47,57829.47,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-05,57829.47,57829.47,57500.91,57589.82,57589.82,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-08,57589.82,57794.26,57402.14,57731.4,57731.4,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-09,57731.4,57731.4,56923.85,56963.8,56963.8,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-10,56963.8,57852.61,56963.8,57597.87,57597.87,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-11,57597.87,58033.39,57132.06,57273.14,57273.14,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-12,57273.14,57548.25,57162.23,57277.35,57277.35,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-15,57277.35,57537.23,57038.02,57537.23,57537.23,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-16,57537.23,58052.72,57394.1,58052.72,58052.72,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-17,58052.72,58067.96,57560.61,57636.01,57636.01,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-18,57636.01,58019.06,57292.2,57872.53,57872.53,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-19,57872.53,58554.01,57872.53,58248.73,58248.73,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-22,58248.73,58253.42,57805.42,58015.09,58015.09,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-23,58015.09,58528.12,58015.09,58309.59,58309.59,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-24,58309.59,58344.21,57625.42,57718.1,57718.1,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-25,57718.1,58287.31,57413.02,57662.89,57662.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-26,57662.89,57736.51,57415.71,57570.54,57570.54,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-29,57570.54,58062.0,57570.54,58034.77,58034.77,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-30,58034.77,58159.07,57081.11,57241.55,57241.55,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-07-31,57241.55,57241.55,56784.61,56784.61,56784.61,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-01,56784.61,57223.61,56218.7,57223.61,57223.61,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-02,57223.61,57223.61,55893.37,56273.92,56273.92,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-05,56273.92,56273.92,54855.46,54975.38,54975.38,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-06,54975.38,55516.47,54954.93,55062.01,55062.01,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-07,55062.01,55451.65,55002.95,55225.32,55225.32,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-08,55225.32,55870.62,55225.32,55535.24,55535.24,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-12,55535.24,56091.76,55273.76,55371.53,55371.53,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-13,55371.53,55371.53,54840.95,55191.97,55191.97,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-14,55191.97,55191.97,53924.14,54029.43,54029.43,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-15,54029.43,54256.6,53260.47,53840.93,53840.93,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-16,53840.93,53885.34,53477.3,53874.52,53874.52,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-19,53874.52,54628.68,53874.52,54386.31,54386.31,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-20,54386.31,54623.75,54114.61,54280.8,54280.8,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-21,54280.8,54674.68,54079.12,54638.03,54638.03,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-22,54638.03,54711.87,54049.25,54187.93,54187.93,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-23,54187.93,54387.01,53756.4,53995.82,53995.82,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-26,53995.82,54084.55,53448.4,53811.89,53811.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-27,53811.89,53947.92,53529.16,53895.75,53895.75,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-28,53895.75,54255.62,53566.34,54255.62,54255.62,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
